iter	R2	RMSE
561	0.88220827	16002691.94
562	0.8822844207	15997518.35
563	0.8823207847	15995047.23
564	0.8823759001	15991301.12
565	0.8824192908	15988351.31
566	0.8824455625	15986565.03
567	0.8824677676	15985055.09
568	0.8825210156	15981433.67
569	0.882541698	15980026.82
570	0.8825915674	15976634.13
571	0.8826500863	15972652.09
572	0.8826998841	15969262.71
573	0.882793594	15962882.59
574	0.8828673876	15957856.65
575	0.8829258895	15953871.08
576	0.8829960023	15949093.17
577	0.8831204396	15940609.74
578	0.8832290504	15933201.59
579	0.8833052292	15928003.5
580	0.8833692842	15923631.38
581	0.8834516171	15918009.91
582	0.8835008835	15914645.19
583	0.8835391097	15912033.99
584	0.8835878822	15908701.75
585	0.883724719	15899349.05
586	0.8837845612	15895257.14
587	0.883814384	15893217.51
588	0.8838758377	15889013.78
589	0.8839238758	15885726.97
590	0.883986181	15881462.97
591	0.8840553955	15876724.78
592	0.8841062809	15873240.44
593	0.8841673957	15869054.63
594	0.8841912912	15867417.7
595	0.8842393889	15864122.33
596	0.8843034791	15859730.18
597	0.8843391562	15857284.68
598	0.8844307365	15851005.53
599	0.8844924117	15846775.41
600	0.8846135776	15838461.71
601	0.8847161923	15831417.46
602	0.8848022173	15825509.64
603	0.8848584923	15821643.72
604	0.8849201657	15817405.88
605	0.8849534601	15815117.6
606	0.8849864124	15812852.51
607	0.885042683	15808983.8
608	0.8850547098	15808156.81
609	0.885087972	15805869.41
610	0.8850993738	15805085.24
611	0.8852231632	15796569.06
612	0.8853780566	15785906.59
613	0.8854394956	15781675.29
614	0.8854638576	15779997.16
615	0.8855114449	15776718.69
616	0.8855577727	15773526.35
617	0.8855857118	15771600.81
618	0.885637638	15768021.49
619	0.885663947	15766207.67
620	0.8856754272	15765416.13
621	0.8857220263	15762202.78
622	0.8857432762	15760737.22
623	0.8857852508	15757841.94
624	0.8858520283	15753234.73
625	0.8858764392	15751550.2
626	0.8859120084	15749095.35
627	0.885952539	15746297.61
628	0.8859730138	15744884.09
629	0.8860359345	15740539.43
630	0.8861237114	15734476.46
631	0.8861897188	15729915.62
632	0.8862862855	15723240.88
633	0.8863151524	15721245.03
634	0.8863533933	15718600.68
635	0.8864090496	15714751.27
636	0.8864454032	15712236.39
637	0.8864771348	15710040.94
638	0.8865412308	15705605.3
639	0.8865702158	15703599.03
640	0.8865975864	15701704.28
641	0.8866573753	15697564.55
642	0.8867209406	15693162.14
643	0.8867481222	15691279.22
644	0.8868154089	15686617.18
645	0.8868267818	15685829.05
646	0.8868375033	15685086.03
647	0.8868864258	15681695.17
648	0.8869173365	15679552.35
649	0.8869428054	15677786.54
650	0.8869636745	15676339.5
651	0.887024588	15672115.07
652	0.8870567445	15669884.51
653	0.8870884946	15667681.83
654	0.8871124153	15666022.12
655	0.8871268461	15665020.77
656	0.8871580904	15662852.51
657	0.887186912	15660852.11
658	0.8872346925	15657535.28
659	0.8872800056	15654389.09
660	0.8873310189	15650846.36
661	0.8873555729	15649140.88
662	0.8873843916	15647138.92
663	0.887410228	15645343.93
664	0.8874568764	15642102.49
665	0.8874794358	15640534.67
666	0.8875352925	15636652.11
667	0.8875745842	15633920.38
668	0.8876005345	15632115.96
669	0.8876546395	15628353.14
